CAST_ID,SOURCE,CARBON,VANADIUM,TITANIUM,NIOBIUM,MANGANESE,PHOSPHORUS,SULPHUR,SILICON
V77825,CC1,0.028,0.003,0.001,0.0,0.165,0.011,0.004,0.006
V77819,CC2,0.08,0.003,0.0,0.006,1.026,0.02,0.003,0.01
V77823,CC3,0.051,0.002,0.0,0.0,0.19,0.02,0.008,0.007
V77899,CC2,0.048,0.002,0.018,0.0,0.379,0.011,0.004,0.01
V77946,CC1,0.0018,0.001,0.055,0.001,0.076,0.01,0.005,0.004
V77952,CC1,0.002,0.001,0.056,0.001,0.072,0.01,0.006,0.004
V77969,CC2,0.11,0.001,0.001,0.0,0.57,0.02,0.006,0.228
V77974,CC3,0.089,0.002,0.001,0.0,0.521,0.031,0.012,0.07
V77973,CC2,0.11,0.002,0.0,0.0,0.578,0.012,0.004,0.216
V78065,CC1,0.0019,0.001,0.055,0.001,0.674,0.048,0.006,0.007
V78075,CC3,0.053,0.001,0.001,0.001,0.366,0.011,0.007,0.008
V78073,CC2,0.097,0.001,0.001,0.001,1.02,0.025,0.005,0.116
V79638,CC1,0.0017,0.001,0.057,0.001,0.078,0.014,0.008,0.004
V79655,CC2,0.09,0.006,0.0,0.002,1.527,0.015,0.005,0.016
V79658,CC2,0.089,0.005,0.0,0.001,1.453,0.019,0.005,0.01
V79661,CC1,0.054,0.003,0.002,0.0,0.177,0.018,0.007,0.012
V79802,CC1,0.042,0.002,0.0,0.0,0.188,0.011,0.005,0.008
V79809,CC2,0.078,0.005,0.025,0.03,0.824,0.02,0.007,0.015
V79845,CC3,0.042,0.001,0.001,0.0,0.2,0.018,0.008,0.013
V79976,CC2,0.078,0.001,0.0,0.007,1.019,0.02,0.006,0.017
V80112,CC2,0.057,0.001,0.016,0.039,0.52,0.019,0.006,0.01
V80114,CC3,0.049,0.001,0.0,0.0,0.21,0.016,0.008,0.005
V78587,CC3,0.036,0.001,0.0,0.0,0.25,0.016,0.004,0.009
V78585,CC1,0.0014,0.001,0.057,0.001,0.084,0.017,0.007,0.004
V78600,CC2,0.051,0.001,0.001,0.001,0.45,0.018,0.005,0.049
V78599,CC1,0.0018,0.001,0.059,0.001,0.083,0.017,0.006,0.003
V78950,CC3,0.65,0.001,0.001,0.001,0.663,0.022,0.007,0.252
V79034,CC2,0.05,0.002,0.0,0.0,0.408,0.029,0.005,0.012
V79079,CC1,0.0022,0.001,0.062,0.001,0.08,0.015,0.008,0.005
V79142,CC3,0.081,0.001,0.0,0.02,1.36,0.012,0.01,0.011
V79158,CC2,0.035,0.001,0.0,0.0,0.193,0.017,0.01,0.008
V79202,CC2,0.078,0.001,0.001,0.036,0.95,0.022,0.006,0.013
V79204,CC1,0.0017,0.001,0.059,0.001,0.072,0.011,0.005,0.007
V79278,CC2,0.078,0.001,0.001,0.001,1.85,0.012,0.007,0.449
V79670,CC1,0.037,0.002,0.001,0.0,0.176,0.02,0.007,0.008
